iter	Passed	Remaining
901	1593	173
902	1595	171
903	1596	169
904	1598	167
905	1600	166
906	1602	164
907	1603	162
908	1605	160
909	1607	158
910	1609	157
911	1611	155
912	1613	153
913	1614	151
914	1616	150
915	1618	148
916	1620	146
917	1622	144
918	1623	143
919	1625	141
920	1627	139
921	1629	137
922	1630	136
923	1632	134
924	1634	132
925	1636	130
926	1638	128
927	1639	127
928	1641	125
929	1643	123
930	1645	121
931	1646	120
932	1648	118
933	1650	116
934	1652	114
935	1653	113
936	1655	111
937	1657	109
938	1659	107
939	1660	106
940	1662	104
941	1664	102
942	1666	100
943	1668	98
944	1669	97
945	1671	95
946	1673	93
947	1675	91
948	1676	90
949	1678	88
950	1680	86
951	1682	84
952	1684	83
953	1685	81
954	1687	79
955	1689	77
956	1691	76
957	1693	74
958	1695	72
959	1697	70
960	1698	68
961	1700	67
962	1702	65
963	1704	63
964	1706	61
965	1708	60
966	1709	58
967	1711	56
968	1713	54
969	1715	53
970	1717	51
971	1719	49
972	1721	47
973	1723	46
974	1725	44
975	1727	42
976	1728	40
977	1730	38
978	1732	37
979	1734	35
980	1736	33
981	1738	31
982	1739	30
983	1741	28
984	1743	26
985	1744	24
986	1746	23
987	1748	21
988	1750	19
989	1751	17
990	1753	15
991	1755	14
992	1757	12
993	1759	10
994	1760	8
995	1762	7
996	1764	5
997	1766	3
998	1767	1
999	1769	0
