iter	Logloss
0	0.6874035511
1	0.6815067978
2	0.6757974637
3	0.6700479521
4	0.665170243
5	0.6600823786
6	0.6540086548
7	0.64876717
8	0.643226055
9	0.6381682074
10	0.6323239686
11	0.627203066
12	0.6224014975
13	0.6181356125
14	0.6134656384
15	0.6095262038
16	0.6046676621
17	0.6000129308
18	0.5959002162
19	0.5916513252
20	0.5873390369
21	0.5828475064
22	0.5790013614
23	0.5746681409
24	0.5702597637
25	0.5669216107
26	0.5633105639
27	0.5595285202
28	0.5566661241
29	0.5530860075
30	0.5496866369
31	0.5461183626
32	0.5427210337
33	0.5400285336
34	0.5373929765
35	0.5344932027
36	0.5317055616
37	0.5284262715
38	0.5253727602
39	0.522509963
40	0.5193435654
41	0.5165429495
42	0.5137829892
43	0.5112360493
44	0.5097514924
45	0.5070629864
46	0.5049746335
47	0.5037792092
48	0.5013220359
49	0.4987406025
50	0.4967531176
51	0.494635155
52	0.492844069
53	0.4906555669
54	0.4896566349
55	0.4881450543
56	0.4863654147
57	0.4845789217
58	0.4824171227
59	0.4813982578
60	0.4796942675
61	0.47785716
62	0.4761988254
63	0.4746714408
64	0.4727895334
65	0.4713248309
66	0.4698930169
67	0.4684540664
68	0.4670701757
69	0.4663552024
70	0.4649633603
71	0.4634428103
72	0.4621366981
73	0.4605649153
74	0.4593398595
75	0.4579977174
76	0.4561301355
77	0.4547932877
78	0.4534604839
79	0.4517967139
80	0.4501814372
81	0.4493256551
82	0.4476581929
83	0.4463857767
84	0.4449909557
85	0.4443928435
86	0.4435050116
87	0.4427260938
88	0.4419026426
89	0.4404942065
90	0.4394032739
91	0.4382785314
92	0.4378514913
93	0.4370118919
94	0.4359964441
95	0.4353670201
96	0.4342478995
97	0.4332177986
98	0.4324382404
99	0.4313843551
100	0.4304934041
101	0.4299447344
102	0.4290539244
103	0.4282194253
104	0.4271487274
105	0.4267827985
106	0.4261983549
107	0.4258372897
108	0.4252135025
109	0.4240862589
110	0.4230640578
111	0.4221048503
112	0.4214034486
113	0.42038811
114	0.4197038818
115	0.4186774782
116	0.4179546278
117	0.4176647448
118	0.4169172261
119	0.4161703581
120	0.4151751726
121	0.414821458
122	0.4144053274
123	0.413525758
124	0.4128491225
125	0.4120022415
126	0.4113204207
127	0.4109356209
128	0.4101924212
129	0.4096646178
130	0.4088039156
131	0.4082067157
132	0.4075963757
133	0.4071292256
134	0.4063543798
135	0.4057799973
136	0.405407244
137	0.4047388965
138	0.4041240503
139	0.4034979074
140	0.4032985168
141	0.4031271913
142	0.4028063407
143	0.4026810809
144	0.4023958465
145	0.4017773154
146	0.401343035
147	0.4011117611
148	0.4004650788
149	0.4001072382
150	0.3994675966
151	0.3992952038
152	0.3986244801
153	0.3980637419
154	0.3977862873
155	0.3974070025
156	0.3970817079
157	0.396519574
158	0.3960762063
159	0.3957262189
160	0.3953128233
161	0.3951949372
162	0.3948063114
163	0.3943960472
164	0.3938833406
165	0.3932187249
166	0.3927165538
167	0.392130094
168	0.3917248199
169	0.3910469352
170	0.3905545142
171	0.3901744826
172	0.3897714262
173	0.3894517355
174	0.3890052048
175	0.388672445
176	0.388325008
177	0.3882348957
178	0.3880958607
179	0.3878193952
180	0.3873238655
181	0.3869755727
182	0.3867331948
183	0.3865122073
184	0.3861002375
185	0.3860336607
186	0.3856190887
187	0.385179252
188	0.3850964169
189	0.3845993367
190	0.3843974966
191	0.3839538492
192	0.3836213914
193	0.3831975711
194	0.3827650414
195	0.3822911152
196	0.381955504
197	0.3815558788
198	0.3812953137
199	0.3809851324
200	0.3807857304
201	0.3805304947
202	0.3803490873
203	0.3800552051
204	0.3797495525
205	0.3796763915
206	0.3794980618
207	0.3794659438
208	0.3791227371
209	0.3788894869
210	0.3787072442
211	0.3784345784
212	0.3780252858
213	0.3776408691
214	0.377418001
215	0.3771691619
216	0.3769009634
217	0.3765845952
218	0.3762735125
219	0.3758579591
220	0.3755888997
221	0.3753831509
222	0.3752932804
223	0.3750907921
224	0.374759034
225	0.3745510147
226	0.3744349045
227	0.3743894539
228	0.3743577902
229	0.374138339
230	0.3739822603
231	0.3739016963
232	0.3737138932
233	0.3734204937
234	0.3732320737
235	0.3730800913
236	0.3728118142
237	0.3724804459
238	0.3722432629
239	0.3720559184
240	0.3717507427
241	0.3716485494
242	0.3714199157
243	0.3712135221
244	0.3710741976
245	0.3710344411
246	0.3710120102
247	0.3708285101
248	0.3705396968
249	0.3703978693
250	0.3701949653
251	0.3698984168
252	0.3695648079
253	0.3692961683
254	0.3690615631
255	0.3689453838
256	0.3688013012
257	0.3685156772
258	0.368211323
259	0.3679782464
260	0.3677593305
261	0.3674988706
262	0.3672809541
263	0.3670302256
264	0.3670104571
265	0.3666839177
266	0.3665074518
267	0.3661837837
268	0.3660788582
269	0.3658749652
270	0.3657097903
271	0.3655265301
272	0.36528737
273	0.3650851214
274	0.3649735847
275	0.3647381739
276	0.3646843791
277	0.3644868631
278	0.3643290826
279	0.3641092343
280	0.3638494919
281	0.3637129867
282	0.36361229
283	0.3633395807
284	0.3629940827
285	0.3628497898
286	0.362697987
287	0.3626861756
288	0.3626641661
289	0.362534669
290	0.3623436706
291	0.3622166001
292	0.3620321625
293	0.36173244
294	0.3615278321
295	0.3613364009
296	0.3611524162
297	0.3610106641
298	0.3606966145
299	0.3605552239
300	0.3604932769
301	0.3603316973
302	0.3601388095
303	0.359822544
304	0.359675953
305	0.3596435627
306	0.3594522013
307	0.3592137718
308	0.3592048206
309	0.3589768292
310	0.3587451881
311	0.358563436
312	0.3583633879
313	0.3582207827
314	0.3580720239
315	0.3580660023
316	0.3579791004
317	0.3577372353
318	0.35753564
319	0.3575139117
320	0.3572736353
321	0.3570503344
322	0.3569688851
323	0.3567516462
324	0.356583911
325	0.3564357255
326	0.3561802294
327	0.356006918
328	0.3558494271
329	0.3556540915
330	0.3555949291
331	0.3553993409
332	0.3551918369
333	0.3550367431
334	0.3549615962
335	0.3548242134
336	0.3546336075
337	0.3544984942
338	0.3542882776
339	0.3542342161
340	0.3540405828
341	0.3539286801
342	0.3537257687
343	0.3537176044
344	0.353511149
345	0.3533080552
346	0.3531765445
347	0.3530679832
348	0.3529261203
349	0.3527956437
350	0.3527518976
351	0.3526032256
352	0.3525124282
353	0.352373436
354	0.3523617874
355	0.3521333239
356	0.3518707989
357	0.3517142447
358	0.3516061973
359	0.3514468273
360	0.3513039256
361	0.3511431866
362	0.3511111422
363	0.3509500269
364	0.3507961286
365	0.350737849
366	0.3507122137
367	0.3505899691
368	0.3505295513
369	0.3504631824
370	0.3502924025
371	0.3502377338
372	0.3500390275
373	0.3500353785
374	0.3498866703
375	0.349719769
376	0.349546601
377	0.3494210003
378	0.3493853028
379	0.3492155573
380	0.3491056793
381	0.3489956864
382	0.3488886077
383	0.348753614
384	0.3486015131
385	0.3485180976
386	0.3483327646
387	0.3481574741
388	0.3479677328
389	0.3478880289
390	0.3477676837
391	0.3475769341
392	0.3473759476
393	0.3472968183
394	0.3472811608
395	0.3472670963
396	0.3471074531
397	0.3469551153
398	0.346817004
399	0.3467566756
400	0.3465824618
401	0.3464808977
402	0.3464047877
403	0.3462432223
404	0.3461294759
405	0.3459899608
406	0.3457976109
407	0.3456138542
408	0.3455015425
409	0.3453593725
410	0.3452017002
411	0.3450385855
412	0.344962522
413	0.3448664508
414	0.3447125166
415	0.3446335632
416	0.3445242747
417	0.3444431103
418	0.3444181721
419	0.3443976941
420	0.3442754744
421	0.3440997661
422	0.3440220299
423	0.3440184008
424	0.3438370122
425	0.3437517279
426	0.3436883974
427	0.3435549605
428	0.3433800474
429	0.3432567725
430	0.343139939
431	0.3430034901
432	0.3429534301
433	0.3428721484
434	0.3427208145
435	0.3425761235
436	0.3424044304
437	0.3423491439
438	0.3422875174
439	0.3421832439
440	0.3420915386
441	0.3419346274
442	0.3419178756
443	0.3417748886
444	0.3416584814
445	0.3415841435
446	0.341450997
447	0.3414010367
448	0.3413517472
449	0.3412646042
450	0.3411000246
451	0.3409395465
452	0.3408600776
453	0.3407387156
454	0.3406387519
455	0.3405057781
456	0.34035836
457	0.3402338131
458	0.3400685914
459	0.3399113843
460	0.3398155443
461	0.3396656942
462	0.3395116259
463	0.3393874638
464	0.3392906373
465	0.3392196642
466	0.339211222
467	0.339072535
468	0.3389671514
469	0.3389540583
470	0.3389509683
471	0.3387993611
472	0.3386076937
473	0.3385201292
474	0.3384888002
475	0.3384031152
476	0.3382939016
477	0.3381551293
478	0.3380637513
479	0.3379339592
480	0.3379302911
481	0.3378436697
482	0.3377128901
483	0.337628876
484	0.3374485367
485	0.3374131957
486	0.3372936234
487	0.3371204441
488	0.3369795265
489	0.3369326829
490	0.3367954278
491	0.3367230418
492	0.3365552915
493	0.3365538105
494	0.3364030245
495	0.3362794208
496	0.3361879591
497	0.3360677904
498	0.3360014688
499	0.3358508264
500	0.3358411872
501	0.3357503503
502	0.335584329
503	0.3355014586
504	0.3354121015
505	0.3354107065
506	0.3353078938
507	0.3351987267
508	0.3351060369
509	0.3350544502
510	0.3349960338
511	0.3348544141
512	0.3347826337
513	0.334652987
